,cluster,instancias,centroide,N instancias,cohesion interna,disimilitud externa
0,i-1,[1],"[0.9988558292388916, 0.0, 0.0, 0.0, 0.0]",1,0.0,13.976712726848
1,i-2,[2],"[0.0, 0.0, 0.0, 0.9945089221000671, 0.0]",1,0.0,13.285229781430866
2,i-3,[3],"[0.0, 0.0, 0.0, 0.9980233311653137, 0.0]",1,0.0,13.33386197224481
3,i-4,[4],"[0.0, 0.0, 0.0, 0.0, 0.9975141882896423]",1,0.0,13.327011151827481
4,i-5,[5],"[0.0, 0.0, 0.0, 0.9844698905944824, 0.0]",1,0.0,13.147670874162664
5,i-6,[6],"[0.9955781102180481, 0.0, 0.0, 0.0, 0.0]",1,0.0,13.929221931097942
6,i-7,[7],"[0.0, 0.0, 0.0, 0.0, 0.9816789627075195]",1,0.0,13.109993153349926
7,i-8,[8],"[0.0, 0.0, 0.0, 0.0, 0.9977044463157654]",1,0.0,13.329649082570786
8,i-9,[9],"[0.0, 0.0, 0.9979740381240845, 0.0, 0.0]",1,0.0,17.283212545942014
9,i-10,[10],"[0.7332472205162048, 0.06668849289417267, 0.06668931245803833, 0.06668783724308014, 0.06668713688850403]",1,0.0,10.040193572433585
