,cluster,instancias,centroide,N instancias,cohesion interna,disimilitud externa
0,c-365,"[15, 78, 109, 349, 6, 301, 311, 111, 313]","[0.4918, 0.0053, 0.0244, 0.4556, 0.0206]",9,0.17131218741119997,58.01007145401029
1,c-370,"[270, 273, 288, 120, 391, 110, 179, 33, 67, 244, 365, 70, 169, 49, 316, 324, 338, 98, 278, 172, 372, 168, 146, 283, 154, 231, 275, 59, 21, 318, 52, 234, 254, 100, 64, 279, 201, 395, 207, 160, 159, 213, 182, 38, 374, 46, 119, 20, 25, 181, 164, 184, 13, 212, 189, 139, 242, 250, 227, 335, 369, 280, 390, 107, 303, 367, 327, 63, 342, 225, 153, 317, 158, 258, 141, 253, 337, 393, 195, 396]","[0.02, 0.0171, 0.9374, 0.0124, 0.0089]",80,0.9670208695225412,799.5535830686814
2,c-371,"[37, 61]","[0.4721, 0.0, 0.477, 0.0, 0.0478]",2,0.04224011233112908,11.647360333684153
3,c-376,"[34, 380, 344, 87, 161, 90, 176, 53, 259, 314]","[0.0572, 0.0322, 0.4967, 0.3979, 0.0123]",10,0.43614652674784743,61.30809825189764
4,c-377,"[188, 265, 268, 312, 320, 156, 264, 124, 89, 348, 394, 5, 224, 255, 383, 136, 309, 83, 84, 137, 319, 295, 140, 214, 281, 328, 356, 232, 66, 177, 233, 249, 121, 149, 29, 357, 220, 351, 197, 296, 118, 205, 36, 43, 333, 262, 263, 363, 368, 266, 272, 88, 246, 190, 229, 167, 200, 186, 23, 192, 31, 238, 251, 125, 366, 65, 30, 82, 152, 199, 286, 68, 302, 32, 57, 138]","[0.9101, 0.0132, 0.0392, 0.0058, 0.025]",76,1.8329214272054628,745.3913865537709
5,c-378,"[72, 14, 230, 218, 359]","[0.3953, 0.5297, 0.0, 0.0437, 0.0258]",5,0.10945411623164152,31.4676922002065
6,c-380,"[151, 55, 257, 28, 293, 115, 9, 112, 377, 397, 289, 334, 388, 239, 329, 306, 382, 166, 26, 299, 24, 222, 174, 287, 62, 173, 245, 347, 54, 130, 326, 185, 375, 3, 148, 178, 358, 4, 285, 48, 223]","[0.0132, 0.8991, 0.0084, 0.0494, 0.0256]",41,1.0349361282246696,422.9230665094542
7,c-382,"[145, 271, 228, 350, 39, 128, 346, 7, 360, 86, 332, 308, 330]","[0.0304, 0.485, 0.4352, 0.0183, 0.0268]",13,0.6800356151145195,81.72613365742933
8,c-386,"[104, 385, 142, 398, 155, 204, 73, 123, 191, 165, 127, 208, 2, 117, 122, 386, 134, 248, 103, 183, 304, 133, 216, 361, 362, 45, 305, 126, 99, 114, 322, 196, 373, 202, 47, 297, 18, 51, 11, 60, 8, 215, 19, 252, 269, 340, 58, 22, 116, 371, 69, 44, 292, 274, 81, 106, 290, 217, 276, 355, 171, 300, 135, 247, 91, 221, 74, 384, 40, 144, 243, 102, 392, 92, 219, 336, 79, 236, 267, 241, 193, 75, 95, 209, 94, 352, 315, 387, 307, 310, 71, 389]","[0.0437, 0.0457, 0.0973, 0.0482, 0.7616]",92,10.397658910015892,962.5975745274217
9,c-387,"[76, 260, 17, 35, 1, 298, 175, 284, 235, 27, 157, 370, 291, 56, 294, 206, 378, 163, 170, 96, 381, 354, 194, 345, 343, 12, 16, 85, 132, 256, 180, 187, 129, 237, 261, 379, 97, 376, 80, 198, 150, 210, 341, 113, 339, 325, 331, 41, 282, 211, 321, 105, 101, 162, 203, 93, 131, 240, 364, 226, 50, 42, 108, 143, 77, 353, 277, 323, 10, 147]","[0.0196, 0.0557, 0.0188, 0.8786, 0.0218]",70,3.094818494504391,728.3643604299795
